id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
7687162,8/27/2017,8/27/2017,,Central Time (US & Canada),,606405,joek,2017-08-28 13:09:52 UTC,2018-08-01 19:10:31 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7687162,,,,,FALSE,0,0,FALSE,,"Ponderosa Drive, Searcy, AR",35.252225,-91.793251,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7689959,8/23/2017,8/23/2017,,Central Time (US & Canada),,606694,drrita,2017-08-28 17:45:53 UTC,2017-08-28 17:48:23 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7689959,,,,Flying in our garden nectaring.,FALSE,0,0,FALSE,,"Benton County, US-AR, US",36.253133,-94.251709,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7689961,8/23/2017,8/23/2017,,Central Time (US & Canada),,606694,drrita,2017-08-28 17:46:00 UTC,2017-08-28 17:48:24 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7689961,,,,Flying in our garden nectaring.,FALSE,0,0,FALSE,,"Benton County, US-AR, US",36.253133,-94.251709,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7689977,8/27/2017,8/27/2017,,Central Time (US & Canada),,606694,drrita,2017-08-28 17:47:23 UTC,2017-08-28 17:48:24 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7689977,,,,"Flying around on Burney Mtn just out of Kingston, AR.",FALSE,0,0,FALSE,,"Benton County, US-AR, US",36.031332,-93.433228,56383,,FALSE,,,monarch,Danaus plexippus,Monarch,Insecta,48662
7689979,8/27/2017,8/27/2017,,Central Time (US & Canada),,606694,drrita,2017-08-28 17:47:27 UTC,2017-08-28 17:48:24 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7689979,,,,"Flying around on Burney Mtn just out of Kingston, AR.",FALSE,0,0,FALSE,,"Benton County, US-AR, US",36.031332,-93.433228,56383,,FALSE,,,monarch,Danaus plexippus,Monarch,Insecta,48662
7690001,8/27/2017,8/27/2017,,Central Time (US & Canada),,606694,drrita,2017-08-28 17:49:02 UTC,2017-09-21 22:17:07 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7690001,,,,Eating on tropical milkweed in our garden.  6 of them.,FALSE,0,0,FALSE,,"Benton County, US-AR, US",36.200512,-94.219437,3432,,FALSE,,,monarch caterpillars,Danaus plexippus,Monarch,Insecta,48662
7690129,8/19/2017,8/19/2017,,Central Time (US & Canada),,606715,marywild,2017-08-28 18:02:49 UTC,2017-08-28 18:16:35 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7690129,,,,Saw adult monarch feeding on orange milkweed flowers,FALSE,0,0,FALSE,,"Garland County, US-AR, US",34.480681,-93.220539,219,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7690169,8/26/2017,8/26/2017,,Central Time (US & Canada),,606715,marywild,2017-08-28 18:06:03 UTC,2017-08-28 18:16:35 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7690169,,,,"Counted 6 monarch caterpillers feeding on orange milkweed, ranged in size from about 1/2 inch long to 1 1/2 inches long.",FALSE,0,0,FALSE,,"Garland County, US-AR, US",34.480681,-93.220539,219,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7692433,8/20/2017,8/20/2017,,Central Time (US & Canada),,607034,mcgrew80,2017-08-28 21:28:30 UTC,2017-12-03 19:51:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7692433,https://static.inaturalist.org/photos/10080729/medium.jpeg?1503955706,,,3 monarch caterpillars on my  native orange butterfly milkweed,FALSE,1,0,FALSE,,"Pulaski County, US-AR, US",34.887057,-92.095642,1743,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7692521,8/27/2017,8/27/2017,,Central Time (US & Canada),,607034,mcgrew80,2017-08-28 21:33:32 UTC,2017-08-28 21:47:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7692521,https://static.inaturalist.org/photos/10080844/medium.jpeg?1503956010,,,Found this while checking on my cucumbers and cantaloupes growing in my raised bed in back yard. The gold dots were as shiny and reflective as real gold,FALSE,1,0,FALSE,,"Pulaski County, US-AR, US",34.860017,-92.095642,6982,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7701381,8/27/2017,8/27/2017,,Central Time (US & Canada),,608034,fayebee_104,2017-08-29 16:47:48 UTC,2017-08-29 17:02:05 UTC,casual,CC-BY-NC-SA,https://www.inaturalist.org/observations/7701381,,,"waystation, monarch, milkweed",2 monarch butterflies at the monarch waystation in Wilson Park.,FALSE,0,0,FALSE,,Wilson Park Monarch Waystation,36.072867,-94.160731,13,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7701436,8/28/2017,8/28/2017,,Central Time (US & Canada),,608034,fayebee_104,2017-08-29 16:52:35 UTC,2017-08-29 17:02:05 UTC,casual,CC-BY-NC-SA,https://www.inaturalist.org/observations/7701436,,,"monarch, milkweed",1 monarch visiting yellow flowers and some milkweed blooms.,FALSE,0,0,FALSE,,Eco Modern Flats Apartment Complex,36.06203,-94.169328,26,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7762194,9/2/2017 15:24,9/2/2017,2017-09-02 20:24:04 UTC,Central Time (US & Canada),,14334,mayfly1963,2017-09-03 14:51:28 UTC,2017-09-03 15:23:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7762194,https://static.inaturalist.org/photos/10195017/medium.jpg?1504450286,,Monarch (Danaus plexippus),,FALSE,1,0,FALSE,,"Hagarville, Arkansas, United States",35.509539,-93.322613,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7762195,9/2/2017 15:20,9/2/2017,2017-09-02 20:20:52 UTC,Central Time (US & Canada),,14334,mayfly1963,2017-09-03 14:51:30 UTC,2017-09-22 13:54:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7762195,https://static.inaturalist.org/photos/10195018/medium.jpg?1504450287,,Monarch (Danaus plexippus),,FALSE,1,0,FALSE,,"Hagarville, Arkansas, United States",35.509347,-93.322527,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7776974,Sun Sep 03 2017 15:40:36 GMT-0500 (CDT),9/3/2017,2017-09-03 20:40:36 UTC,Central Time (US & Canada),,606694,drrita,2017-09-04 14:27:17 UTC,2017-10-23 21:06:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7776974,https://static.inaturalist.org/photos/10219260/medium.jpg?1504535259,,,,FALSE,4,0,FALSE,3,"460 E Lake Rd, Elm Springs, AR, US",36.20422,-94.22724167,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7779922,2017/09/04 6:39 AM UTC,9/4/2017,,UTC,,236397,cherrielee,2017-09-04 18:00:10 UTC,2017-09-18 14:10:23 UTC,research,,https://www.inaturalist.org/observations/7779922,https://static.inaturalist.org/photos/10223682/medium.jpeg?1504548045,,,,FALSE,3,0,FALSE,,"1021 S Claremont Ave, Sherwood, AR 72120, USA",34.807962,-92.215618,183,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7795310,8/24/2017,8/24/2017,,Central Time (US & Canada),,606590,hailstate,2017-09-05 17:57:30 UTC,2017-09-05 18:01:56 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7795310,,,,,FALSE,0,0,FALSE,,Trusten Holder WMA,33.985262,-91.328616,220,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
