id,observed_on_string,observed_on,quality_grade,license,latitude,longitude,positional_accuracy,scientific_name,common_name
7846709,2017/09/07 12:42 PM CDT,9/7/2017,research,CC-BY-NC,35.35993616,-93.26019287,1953,Danaus plexippus,Monarch
7846711,2017/09/07 12:42 PM CDT,9/7/2017,research,CC-BY-NC,35.34313496,-93.24920654,1953,Danaus plexippus,Monarch
7846712,2017/09/07 12:43 PM CDT,9/7/2017,research,CC-BY-NC,35.36044364,-93.26705933,1953,Danaus plexippus,Monarch
7846713,2017/09/07 12:48 PM CDT,9/7/2017,research,CC-BY-NC,35.34985586,-93.25332642,1953,Danaus plexippus,Monarch
7850218,Sat Sep 09 2017 15:57:38 GMT-0500 (CDT),9/9/2017,research,CC-BY-NC,36.20707167,-93.12123883,,Danaus plexippus,Monarch
7875956,8/18/2017,8/18/2017,research,CC-BY-NC,34.831963,-92.291267,1659,Danaus plexippus,Monarch
7883710,Mon Sep 11 2017 18:01:35 GMT-0500 (CDT),9/11/2017,research,CC-BY-NC,35.04164104,-92.35850701,11,Danaus plexippus,Monarch
7885045,9/10/2017 17:31,9/10/2017,research,CC-BY-NC,35.508631,-93.316411,,Danaus plexippus,Monarch
7885047,9/10/2017 17:26,9/10/2017,research,CC-BY-NC,35.508841,-93.321411,,Danaus plexippus,Monarch
7885050,9/10/2017 15:57,9/10/2017,research,CC-BY-NC,35.508841,-93.321411,,Danaus plexippus,Monarch
7885051,9/10/2017 15:38,9/10/2017,research,CC-BY-NC,35.508841,-93.321411,,Danaus plexippus,Monarch
7885052,9/10/2017 14:57,9/10/2017,research,CC-BY-NC,35.509679,-93.322441,,Danaus plexippus,Monarch
7895101,2017/09/11 2:00PM,9/11/2017,casual,CC-BY-NC,,,31,Danaus plexippus,Monarch
7895963,6/9/2017,6/9/2017,research,CC-BY-NC,34.451511,-92.736111,438,Danaus plexippus,Monarch
7897710,9/12/2017,9/12/2017,casual,CC-BY-NC,36.022447,-94.035416,3430,Danaus plexippus,Monarch
7897731,9/12/2017,9/12/2017,casual,CC-BY-NC,,,,Danaus plexippus,Monarch
7902001,Fri Sep 08 2017 07:24:53 GMT-0500 (CDT),9/8/2017,research,CC-BY-NC,36.07910833,-94.16349717,,Danaus plexippus,Monarch
7902041,Sat Sep 09 2017 12:42:27 GMT-0500 (CDT),9/9/2017,research,CC-BY-NC,36.0791144,-94.16350143,10,Danaus plexippus,Monarch
7902138,9/12/2017,9/12/2017,research,CC-BY-NC,36.29197,-93.028978,,Danaus plexippus,Monarch
7902244,8/29/2017,8/29/2017,research,CC-BY-NC,35.088696,-92.442101,12934,Danaus plexippus,Monarch
7902296,9/13/2017,9/13/2017,research,CC-BY-NC,36.328649,-94.269742,,Danaus plexippus,Monarch
7903886,9/13/2017,9/13/2017,research,CC-BY-NC,36.111978,-94.122243,192,Danaus plexippus,Monarch
7904080,9/9/2017,9/9/2017,research,CC-BY-NC,35.978006,-94.0979,55564,Danaus plexippus,Monarch
7904628,Thu Aug 10 2017 15:53:05 GMT-0500 (CDT),8/10/2017,research,CC-BY-NC,36.09747783,-94.1282195,,Danaus plexippus,Monarch
7907064,Wed Sep 13 2017 14:54:20 GMT-0500 (CDT),9/13/2017,research,,35.25216744,-91.79318491,44,Danaus plexippus,Monarch
7914242,"2017-09-13, 5:36 p.m.",9/13/2017,research,CC-BY-NC,35.143763,-92.415271,54,Danaus plexippus,Monarch
7915111,Thu Sep 14 2017 07:24:35 GMT-0500 (CDT),9/14/2017,research,CC-BY-NC,36.07913333,-94.1634445,,Danaus plexippus,Monarch
7915123,9/13/2017 14:00,9/13/2017,casual,CC-BY-NC,,,15,Danaus plexippus,Monarch
7915126,Thu Sep 14 2017 07:24:35 GMT-0500 (CDT),9/14/2017,research,CC-BY-NC,36.07913333,-94.1634445,,Danaus plexippus,Monarch
7915337,9/12/2017,9/12/2017,research,CC-BY-NC,34.824245,-92.283086,,Danaus plexippus,Monarch
7923105,9/14/2017,9/14/2017,research,CC-BY-NC-SA,36.061704,-94.169341,,Danaus plexippus,Monarch
7923991,9/12/2017,9/12/2017,research,CC-BY-NC,36.136513,-94.119354,53,Danaus plexippus,Monarch
7924093,9/14/2017,9/14/2017,research,CC-BY-NC,36.136513,-94.119354,53,Danaus plexippus,Monarch
7924284,9/10/2017,9/10/2017,casual,CC-BY-NC,,,,Danaus plexippus,Monarch
7928078,9/12/2017,9/12/2017,research,CC-BY-NC,35.137634,-92.945538,,Danaus plexippus,Monarch
7928088,9/12/2017,9/12/2017,research,CC-BY-NC,35.137634,-92.945538,,Danaus plexippus,Monarch
7938953,2017/09/13 6:22 PM CDT,9/13/2017,research,CC-BY-NC,35.51368379,-93.32619667,8,Danaus plexippus,Monarch
7938954,2017/09/13 6:20 PM CDT,9/13/2017,research,CC-BY-NC,35.51388574,-93.32610548,2,Danaus plexippus,Monarch
7938955,2017/09/13 6:18 PM CDT,9/13/2017,research,CC-BY-NC,35.51388356,-93.32611486,2,Danaus plexippus,Monarch
7938956,2017/09/13 6:17 PM CDT,9/13/2017,research,CC-BY-NC,35.51388574,-93.32611755,2,Danaus plexippus,Monarch
7938957,2017/09/13 6:16 PM CDT,9/13/2017,research,CC-BY-NC,35.51389011,-93.32611889,2,Danaus plexippus,Monarch
