"dataset_id","row_id","latitude","longitude","sp_code","scientific","common","tsn","count","series_id","obs_date","date_time","last_mod","provider","owner","oceano","depth","ds_type"
705,"705_2683",47.06,-39.54,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-05-24","2008-05-24 02:35:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.3100,""SSH_D"":3.08,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":17.775,""BATH"":-4572,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2681",43.04,-41.44,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-05-23","2008-05-23 02:42:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.7000,""CHL_Y"":0.4600,""SSH_D"":47.64,""SST_D"":-9999,""SST_M"":17.025,""SST_Y"":19.950,""BATH"":-4835,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2676",42.18,-49.36,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-05-20","2008-05-20 15:14:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.6400,""CHL_M"":1.1500,""CHL_Y"":1.5100,""SSH_D"":-18.49,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":18.975,""BATH"":-3044,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2657",9.11,-37.66,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-05-11","2008-05-11 02:27:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.1300,""SSH_D"":47.05,""SST_D"":26.550,""SST_M"":26.325,""SST_Y"":26.925,""BATH"":-3916,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2624",-27.53,9.27,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-04-24","2008-04-24 11:21:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.2000,""CHL_M"":0.1700,""CHL_Y"":0.2300,""SSH_D"":42.33,""SST_D"":20.625,""SST_M"":20.475,""SST_Y"":19.050,""BATH"":-4926,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2618",-35.09,-0.59,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-04-21","2008-04-21 12:01:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0500,""CHL_Y"":0.2300,""SSH_D"":64.86,""SST_D"":-9999,""SST_M"":20.175,""SST_Y"":18.975,""BATH"":-4270,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2609",-63.01,-23.6,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-04-17","2008-04-17 01:34:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-147.11,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":0.150,""BATH"":-4939,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2608",-57.2,-26.07,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-04-16","2008-04-16 13:44:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.2800,""CHL_M"":0.2800,""CHL_Y"":0.5500,""SSH_D"":-127.62,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":0.750,""BATH"":-3252,""EEZ"":89,""WDPA"":NULL,""LME"":NULL,""MEOW"":20219",,"pttag"
705,"705_3066",38.62,-35.87,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-05-07","2008-05-07 14:20:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.1700,""CHL_Y"":0.1600,""SSH_D"":30.04,""SST_D"":16.575,""SST_M"":20.025,""SST_Y"":21.000,""BATH"":-4180,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3058",28.34,-36.79,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2008-05-03","2008-05-03 14:24:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.0300,""CHL_M"":0.0300,""CHL_Y"":0.0400,""SSH_D"":39.44,""SST_D"":22.425,""SST_M"":22.425,""SST_Y"":23.775,""BATH"":-4558,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2586",-68.9,-59.61,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-04-05","2008-04-05 16:01:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-9999,""BATH"":-326,""EEZ"":213,""WDPA"":NULL,""LME"":61,""MEOW"":20227",,"pttag"
705,"705_2578",-65.72,-57.96,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-03-10","2008-03-10 16:02:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-120.94,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":-2.925,""BATH"":-346,""EEZ"":213,""WDPA"":NULL,""LME"":61,""MEOW"":20227",,"pttag"
705,"705_2553",-61.59,-44.28,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-02-27","2008-02-27 03:10:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.2200,""SSH_D"":-130.44,""SST_D"":-9999,""SST_M"":0.075,""SST_Y"":-0.150,""BATH"":-440,""EEZ"":213,""WDPA"":NULL,""LME"":NULL,""MEOW"":20221",,"pttag"
705,"705_2549",-63.25,-44.45,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-02-25","2008-02-25 03:11:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""SSH_D"":-136.99,""SST_D"":-0.825,""SST_M"":-9999,""SST_Y"":0.675,""BATH"":-3380,""EEZ"":213,""WDPA"":NULL,""LME"":NULL,""MEOW"":20221",,"pttag"
705,"705_2530",-67.18,-34.96,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-02-15","2008-02-15 14:34:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":-9999,""SSH_D"":-137.76,""SST_D"":-0.825,""SST_M"":-0.825,""SST_Y"":-1.350,""BATH"":-4610,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2777",-19.81,9.09,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2007-10-17","2007-10-17 23:09:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.4800,""CHL_Y"":0.7200,""SSH_D"":32.37,""SST_D"":-9999,""SST_M"":16.800,""SST_Y"":19.950,""BATH"":-2289,""EEZ"":101,""WDPA"":NULL,""LME"":29,""MEOW"":25190",,"pttag"
705,"705_2218",-24.17,0.94,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_395","2007-10-29","2007-10-29 11:40:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_M"":-9999,""CHL_Y"":0.0600,""SSH_D"":43.23,""SST_D"":18.825,""SST_M"":18.525,""SST_Y"":20.550,""BATH"":-5303,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2215",-26.46,9.22,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_395","2007-10-27","2007-10-27 23:07:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_M"":0.5000,""CHL_Y"":0.2400,""SSH_D"":27.95,""SST_D"":18.300,""SST_M"":16.650,""SST_Y"":18.900,""BATH"":-4831,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2364",-22.16,-38.89,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2007-10-13","2007-10-13 02:22:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0600,""CHL_Y"":0.0900,""SSH_D"":60.80,""SST_D"":22.650,""SST_M"":23.100,""SST_Y"":25.275,""BATH"":-2674,""EEZ"":171,""WDPA"":NULL,""LME"":16,""MEOW"":20076",,"pttag"
705,"705_2650",-1.36,-23.12,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_406","2008-05-07","2008-05-07 13:29:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.1400,""CHL_Y"":0.1600,""SSH_D"":41.76,""SST_D"":-9999,""SST_M"":27.300,""SST_Y"":26.025,""BATH"":-4994,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
