"geom","oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","csquare","geom_wkt"
0103000020E610000001000000050000000000000000002A400000000000003EC00000000000002C400000000000003EC00000000000002C400000000000003FC00000000000002A400000000000003FC00000000000002A400000000000003EC0,61480,14,-30,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-04-24","2008-04-24",1,1,1,"3301:103","POLYGON((13 -30,14 -30,14 -31,13 -31,13 -30))"
0103000020E610000001000000050000000000000000002A400000000000003DC00000000000002C400000000000003DC00000000000002C400000000000003EC00000000000002A400000000000003EC00000000000002A400000000000003DC0,54921,14,-30,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-09","2007-10-09",1,1,1,"3201:393","POLYGON((13 -29,14 -29,14 -30,13 -30,13 -29))"
0103000020E610000001000000050000000000000000002A400000000000003AC00000000000002C400000000000003AC00000000000002C400000000000003BC00000000000002A400000000000003BC00000000000002A400000000000003AC0,54795,14,-27,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-08","2007-10-08",1,1,1,"3201:363","POLYGON((13 -26,14 -26,14 -27,13 -27,13 -26))"
0103000020E610000001000000050000000000000000002A4000000000000039C00000000000002C4000000000000039C00000000000002C400000000000003AC00000000000002A400000000000003AC00000000000002A4000000000000039C0,54710,13,-25,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-09","2007-10-09",1,1,1,"3201:353","POLYGON((13 -25,14 -25,14 -26,13 -26,13 -25))"
0103000020E610000001000000050000000000000000002A4000000000000038C00000000000002C4000000000000038C00000000000002C4000000000000039C00000000000002A4000000000000039C00000000000002A4000000000000038C0,54698,14,-24,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-23","2008-04-18",2,2,1,"3201:143","POLYGON((13 -24,14 -24,14 -25,13 -25,13 -24))"
0103000020E610000001000000050000000000000000002A4000000000000037C00000000000002C4000000000000037C00000000000002C4000000000000038C00000000000002A4000000000000038C00000000000002A4000000000000037C0,54677,14,-24,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-22","2007-10-22",1,1,1,"3201:133","POLYGON((13 -23,14 -23,14 -24,13 -24,13 -23))"
0103000020E610000001000000050000000000000000002A4000000000000036C00000000000002C4000000000000036C00000000000002C4000000000000037C00000000000002A4000000000000037C00000000000002A4000000000000036C0,54588,14,-22,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-18","2008-04-19",3,2,1,"3201:123","POLYGON((13 -22,14 -22,14 -23,13 -23,13 -22))"
0103000020E610000001000000050000000000000000002A4000000000000035C00000000000002C4000000000000035C00000000000002C4000000000000036C00000000000002A4000000000000036C00000000000002A4000000000000035C0,54560,13,-21,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-22","2007-10-22",1,1,1,"3201:113","POLYGON((13 -21,14 -21,14 -22,13 -22,13 -21))"
0103000020E610000001000000050000000000000000002A4000000000000034C00000000000002C4000000000000034C00000000000002C4000000000000035C00000000000002A4000000000000035C00000000000002A4000000000000034C0,54547,14,-20,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-11","2007-10-22",5,2,1,"3201:103","POLYGON((13 -20,14 -20,14 -21,13 -21,13 -20))"
0103000020E610000001000000050000000000000000002A4000000000000033C00000000000002C4000000000000033C00000000000002C4000000000000034C00000000000002A4000000000000034C00000000000002A4000000000000033C0,53336,14,-19,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-17","2007-10-21",3,1,1,"3101:393","POLYGON((13 -19,14 -19,14 -20,13 -20,13 -19))"
0103000020E610000001000000050000000000000000002A4000000000000031C00000000000002C4000000000000031C00000000000002C4000000000000032C00000000000002A4000000000000032C00000000000002A4000000000000031C0,53320,14,-18,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-21","2007-10-21",2,1,1,"3101:373","POLYGON((13 -17,14 -17,14 -18,13 -18,13 -17))"
0103000020E610000001000000050000000000000000002A400000000000002EC00000000000002C400000000000002EC00000000000002C4000000000000030C00000000000002A4000000000000030C00000000000002A400000000000002EC0,53307,14,-15,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-05","2007-10-24",4,2,1,"3101:353","POLYGON((13 -15,14 -15,14 -16,13 -16,13 -15))"
0103000020E610000001000000050000000000000000002A400000000000002CC00000000000002C400000000000002CC00000000000002C400000000000002EC00000000000002A400000000000002EC00000000000002A400000000000002CC0,53297,13,-15,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-15","2007-10-15",1,1,1,"3101:143","POLYGON((13 -14,14 -14,14 -15,13 -15,13 -14))"
0103000020E610000001000000050000000000000000002A400000000000002AC00000000000002C400000000000002AC00000000000002C400000000000002CC00000000000002A400000000000002CC00000000000002A400000000000002AC0,53289,13,-14,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-10-25","2007-10-25",1,1,1,"3101:133","POLYGON((13 -13,14 -13,14 -14,13 -14,13 -13))"
0103000020E610000001000000050000000000000000002A400000000000C050400000000000002A4000000000000051400000000000002C4000000000000051400000000000002C400000000000C050400000000000002A400000000000C05040,8393290,14,68,"European Seabirds at Sea","Sterna paradisaea","427","1980-07-15","1980-07-15",12,47,1,"1601:373","POLYGON((13 67,13 68,14 68,14 67,13 67))"
0103000020E610000001000000050000000000000000002C400000000000004FC00000000000002E400000000000004FC00000000000002E400000000000804FC00000000000002C400000000000804FC00000000000002C400000000000004FC0,91347,14,-62,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2008-01-01","2008-01-01",1,1,1,"3601:124","POLYGON((14 -62,15 -62,15 -63,14 -63,14 -62))"
0103000020E610000001000000050000000000000000002C4000000000000049C00000000000002E4000000000000049C00000000000002E4000000000008049C00000000000002C4000000000008049C00000000000002C4000000000000049C0,82209,15,-50,"Greenland Institute of Natural Resources","Sterna paradisaea","705","2007-11-30","2007-11-30",1,1,1,"3501:104","POLYGON((14 -50,15 -50,15 -51,14 -51,14 -50))"
